KODJAZ;AKRCIS;KODCIS;CHODNOTA;ZKRTEXT;TEXT;ADMPLOD;ADMNEPO;OBEC_UL;OB_UL_COR;SM_ROZSAH;SM_TYP;KODOBCE_H;DOMIN_COBC;PORCOBEC_O
"CS";"CISOB";43;"500011";"éelechovice nad D¯evnicÌ";"éelechovice nad D¯evnicÌ";"01.01.2009";"09.09.9999";"ano";"ne";;;"195901";"195901";88
"CS";"CISOB";43;"500020";"Petrov nad Desnou";"Petrov nad Desnou";"01.01.2010";"09.09.9999";"ne";"ne";;;"119792";"119792";50
"CS";"CISOB";43;"500046";"Libhoöù";"Libhoöù";"01.01.2011";"09.09.9999";"ne";"ne";;;"082686";"082686";23
"CS";"CISOB";43;"500062";"Krhov·";"Krhov·";"01.01.2013";"09.09.9999";"ano";"ne";;;"176508";"176508";20
"CS";"CISOB";43;"500071";"PoliËn·";"PoliËn·";"01.01.2013";"09.09.9999";"ne";"ne";;;"125458";"125458";36
"CS";"CISOB";43;"500101";"Braûec";"Braûec";"01.01.2016";"09.09.9999";"ne";"ne";;;"317934";"317934";7
"CS";"CISOB";43;"500127";"DoupovskÈ HradiötÏ";"DoupovskÈ HradiötÏ";"01.01.2016";"09.09.9999";"ne";"ne";;;"317942";"317942";13
"CS";"CISOB";43;"500135";"Kozlov";"Kozlov";"01.01.2016";"09.09.9999";"ne";"ne";;;"320676";"320676";36
"CS";"CISOB";43;"500151";"LubomÏ¯ pod Str·ûnou";"LubomÏ¯ pod Str·ûnou";"01.01.2016";"09.09.9999";"ne";"ne";;;"320684";"320684";48
"CS";"CISOB";43;"500160";"MÏsto Libav·";"MÏsto Libav·";"01.01.2016";"09.09.9999";"ano";"ne";;;"093424";"093424";55
"CS";"CISOB";43;"500194";"Poln· na äumavÏ";"Poln· na äumavÏ";"01.01.2016";"09.09.9999";"ne";"ne";;;"330469";"330469";31
"CS";"CISOB";43;"500259";"Ve¯ovice";"Ve¯ovice";"01.03.2001";"09.09.9999";"ne";"ne";;;"180360";"180360";49
"CS";"CISOB";43;"500291";"V¯esina";"V¯esina";"01.03.2001";"09.09.9999";"ano";"ne";;;"186686";"186686";12
"CS";"CISOB";43;"500496";"Olomouc";"Olomouc";"01.03.2001";"09.09.9999";"ano";"ano";;;"110507";"110507";66
"CS";"CISOB";43;"500526";"BÏlkovice-Laöùany";"BÏlkovice-Laöùany";"01.03.2001";"09.09.9999";"ne";"ne";;;"001970";"001970";2
"CS";"CISOB";43;"500623";"BÌl· Lhota";"BÌl· Lhota";"01.03.2001";"09.09.9999";"ne";"ne";;;"003956";"003956";3
"CS";"CISOB";43;"500801";"Blatec";"Blatec";"01.03.2001";"09.09.9999";"ne";"ne";;;"005207";"005207";5
"CS";"CISOB";43;"500852";"BohuÚovice";"BohuÚovice";"01.03.2001";"09.09.9999";"ano";"ne";;;"006432";"006432";6
"CS";"CISOB";43;"500861";"Bouzov";"Bouzov";"01.03.2001";"09.09.9999";"ne";"ne";;;"008699";"008699";7
"CS";"CISOB";43;"500879";"BystroËice";"BystroËice";"01.03.2001";"09.09.9999";"ne";"ne";;;"016675";"016675";9
"CS";"CISOB";43;"501476";"Dlouh· LouËka";"Dlouh· LouËka";"01.03.2001";"09.09.9999";"ano";"ne";;;"026441";"026441";13
