KODJAZ;AKRCIS;KODCIS;CHODNOTA;ZKRTEXT;TEXT;ADMPLOD;ADMNEPO;CZNUTS;KOD_RUIAN;ZKRKRAJ
"CS";"KRAJ_NUTS";100;"3000";"Extra-Regio";"Extra-Regio";"01.05.2004";"09.09.9999";"CZZZZ";;
"CS";"KRAJ_NUTS";100;"3018";"Hl. m. Praha";"Hlavní mìsto Praha";"01.03.2001";"09.09.9999";"CZ010";"19";"PHA"
"CS";"KRAJ_NUTS";100;"3026";"Støedoèeský kraj";"Støedoèeský kraj";"01.03.2001";"09.09.9999";"CZ020";"27";"STC"
"CS";"KRAJ_NUTS";100;"3034";"Jihoèeský kraj";"Jihoèeský kraj";"01.03.2001";"09.09.9999";"CZ031";"35";"JHC"
"CS";"KRAJ_NUTS";100;"3042";"Plzeòský kraj";"Plzeòský kraj";"01.03.2001";"09.09.9999";"CZ032";"43";"PLK"
"CS";"KRAJ_NUTS";100;"3051";"Karlovarský kraj";"Karlovarský kraj";"01.03.2001";"09.09.9999";"CZ041";"51";"KVK"
"CS";"KRAJ_NUTS";100;"3069";"Ústecký kraj";"Ústecký kraj";"01.03.2001";"09.09.9999";"CZ042";"60";"ULK"
"CS";"KRAJ_NUTS";100;"3077";"Liberecký kraj";"Liberecký kraj";"01.03.2001";"09.09.9999";"CZ051";"78";"LBK"
"CS";"KRAJ_NUTS";100;"3085";"Královéhradecký kraj";"Královéhradecký kraj";"01.03.2001";"09.09.9999";"CZ052";"86";"HKK"
"CS";"KRAJ_NUTS";100;"3093";"Pardubický kraj";"Pardubický kraj";"01.03.2001";"09.09.9999";"CZ053";"94";"PAK"
"CS";"KRAJ_NUTS";100;"3107";"Kraj Vysoèina";"Kraj Vysoèina";"01.03.2001";"09.09.9999";"CZ063";"108";"VYS"
"CS";"KRAJ_NUTS";100;"3115";"Jihomoravský kraj";"Jihomoravský kraj";"01.03.2001";"09.09.9999";"CZ064";"116";"JHM"
"CS";"KRAJ_NUTS";100;"3123";"Olomoucký kraj";"Olomoucký kraj";"01.03.2001";"09.09.9999";"CZ071";"124";"OLK"
"CS";"KRAJ_NUTS";100;"3131";"Zlínský kraj";"Zlínský kraj";"01.03.2001";"09.09.9999";"CZ072";"141";"ZLK"
"CS";"KRAJ_NUTS";100;"3140";"Moravskoslezský kraj";"Moravskoslezský kraj";"01.03.2001";"09.09.9999";"CZ080";"132";"MSK"

