KODJAZ;AKRCIS;KODCIS;CHODNOTA;ZKRTEXT;TEXT;ADMPLOD;ADMNEPO;CZNUTS;OKRES_LAU;KRAJ_1960;KOD_RUIAN
"CS";"OKRES_NUTS";101;"40002";"Extra-Regio";"Extra-Regio";"01.05.2004";"09.09.9999";"CZZZZZ";"CZZZZZ";;
"CS";"OKRES_NUTS";101;"40169";"Benešov";"Benešov";"01.03.2001";"09.09.9999";"CZ0201";"CZ0201";"32";"3201"
"CS";"OKRES_NUTS";101;"40177";"Beroun";"Beroun";"01.03.2001";"09.09.9999";"CZ0202";"CZ0202";"32";"3202"
"CS";"OKRES_NUTS";101;"40185";"Kladno";"Kladno";"01.03.2001";"09.09.9999";"CZ0203";"CZ0203";"32";"3203"
"CS";"OKRES_NUTS";101;"40193";"Kolín";"Kolín";"01.03.2001";"09.09.9999";"CZ0204";"CZ0204";"32";"3204"
"CS";"OKRES_NUTS";101;"40207";"Kutná Hora";"Kutná Hora";"01.03.2001";"09.09.9999";"CZ0205";"CZ0205";"32";"3205"
"CS";"OKRES_NUTS";101;"40215";"Mìlník";"Mìlník";"01.03.2001";"09.09.9999";"CZ0206";"CZ0206";"32";"3206"
"CS";"OKRES_NUTS";101;"40223";"Mladá Boleslav";"Mladá Boleslav";"01.03.2001";"09.09.9999";"CZ0207";"CZ0207";"32";"3207"
"CS";"OKRES_NUTS";101;"40231";"Nymburk";"Nymburk";"01.03.2001";"09.09.9999";"CZ0208";"CZ0208";"32";"3208"
"CS";"OKRES_NUTS";101;"40240";"Praha-východ";"Praha-východ";"01.03.2001";"09.09.9999";"CZ0209";"CZ0209";"32";"3209"
"CS";"OKRES_NUTS";101;"40258";"Praha-západ";"Praha-západ";"01.03.2001";"09.09.9999";"CZ020A";"CZ020A";"32";"3210"
"CS";"OKRES_NUTS";101;"40266";"Pøíbram";"Pøíbram";"01.03.2001";"09.09.9999";"CZ020B";"CZ020B";"32";"3211"
"CS";"OKRES_NUTS";101;"40274";"Rakovník";"Rakovník";"01.03.2001";"09.09.9999";"CZ020C";"CZ020C";"32";"3212"
"CS";"OKRES_NUTS";101;"40282";"Èeské Budìjovice";"Èeské Budìjovice";"01.03.2001";"09.09.9999";"CZ0311";"CZ0311";"33";"3301"
"CS";"OKRES_NUTS";101;"40291";"Èeský Krumlov";"Èeský Krumlov";"01.03.2001";"09.09.9999";"CZ0312";"CZ0312";"33";"3302"
"CS";"OKRES_NUTS";101;"40304";"Jindøichùv Hradec";"Jindøichùv Hradec";"01.03.2001";"09.09.9999";"CZ0313";"CZ0313";"33";"3303"
"CS";"OKRES_NUTS";101;"40312";"Písek";"Písek";"01.03.2001";"09.09.9999";"CZ0314";"CZ0314";"33";"3305"
"CS";"OKRES_NUTS";101;"40321";"Prachatice";"Prachatice";"01.03.2001";"09.09.9999";"CZ0315";"CZ0315";"33";"3306"
"CS";"OKRES_NUTS";101;"40339";"Strakonice";"Strakonice";"01.03.2001";"09.09.9999";"CZ0316";"CZ0316";"33";"3307"
"CS";"OKRES_NUTS";101;"40347";"Tábor";"Tábor";"01.03.2001";"09.09.9999";"CZ0317";"CZ0317";"33";"3308"
"CS";"OKRES_NUTS";101;"40355";"Domažlice";"Domažlice";"01.03.2001";"09.09.9999";"CZ0321";"CZ0321";"34";"3401"
"CS";"OKRES_NUTS";101;"40363";"Klatovy";"Klatovy";"01.03.2001";"09.09.9999";"CZ0322";"CZ0322";"34";"3404"
"CS";"OKRES_NUTS";101;"40371";"Plzeò-mìsto";"Plzeò-mìsto";"01.03.2001";"09.09.9999";"CZ0323";"CZ0323";"34";"3405"
"CS";"OKRES_NUTS";101;"40380";"Plzeò-jih";"Plzeò-jih";"01.03.2001";"09.09.9999";"CZ0324";"CZ0324";"34";"3406"
"CS";"OKRES_NUTS";101;"40398";"Plzeò-sever";"Plzeò-sever";"01.03.2001";"09.09.9999";"CZ0325";"CZ0325";"34";"3407"
"CS";"OKRES_NUTS";101;"40401";"Rokycany";"Rokycany";"01.03.2001";"09.09.9999";"CZ0326";"CZ0326";"34";"3408"
"CS";"OKRES_NUTS";101;"40410";"Tachov";"Tachov";"01.03.2001";"09.09.9999";"CZ0327";"CZ0327";"34";"3410"
"CS";"OKRES_NUTS";101;"40428";"Cheb";"Cheb";"01.03.2001";"09.09.9999";"CZ0411";"CZ0411";"34";"3402"
"CS";"OKRES_NUTS";101;"40436";"Karlovy Vary";"Karlovy Vary";"01.03.2001";"09.09.9999";"CZ0412";"CZ0412";"34";"3403"
"CS";"OKRES_NUTS";101;"40444";"Sokolov";"Sokolov";"01.03.2001";"09.09.9999";"CZ0413";"CZ0413";"34";"3409"
"CS";"OKRES_NUTS";101;"40452";"Dìèín";"Dìèín";"01.03.2001";"09.09.9999";"CZ0421";"CZ0421";"35";"3502"
"CS";"OKRES_NUTS";101;"40461";"Chomutov";"Chomutov";"01.03.2001";"09.09.9999";"CZ0422";"CZ0422";"35";"3503"
