KODJAZ;TYPVAZ;AKRCIS1;KODCIS1;CHODNOTA1;TEXT1;AKRCIS2;KODCIS2;CHODNOTA2;TEXT2
"CS";"Odvozen· vazba";"CISOB";43;"500011";"éelechovice nad D¯evnicÌ";"CISORP";65;"7213";"ZlÌn"
"CS";"Odvozen· vazba";"CISOB";43;"500020";"Petrov nad Desnou";"CISORP";65;"7111";"äumperk"
"CS";"Odvozen· vazba";"CISOB";43;"500046";"Libhoöù";"CISORP";65;"8115";"Nov˝ JiËÌn"
"CS";"Odvozen· vazba";"CISOB";43;"500062";"Krhov·";"CISORP";65;"7210";"ValaöskÈ Mezi¯ÌËÌ"
"CS";"Odvozen· vazba";"CISOB";43;"500071";"PoliËn·";"CISORP";65;"7210";"ValaöskÈ Mezi¯ÌËÌ"
"CS";"Odvozen· vazba";"CISOB";43;"500101";"Braûec";"CISORP";65;"4103";"Karlovy Vary"
"CS";"Odvozen· vazba";"CISOB";43;"500127";"DoupovskÈ HradiötÏ";"CISORP";65;"4106";"Ostrov"
"CS";"Odvozen· vazba";"CISOB";43;"500135";"Kozlov";"CISORP";65;"7107";"Olomouc"
"CS";"Odvozen· vazba";"CISOB";43;"500151";"LubomÏ¯ pod Str·ûnou";"CISORP";65;"7101";"Hranice"
"CS";"Odvozen· vazba";"CISOB";43;"500160";"MÏsto Libav·";"CISORP";65;"7110";"äternberk"
"CS";"Odvozen· vazba";"CISOB";43;"500194";"Poln· na äumavÏ";"CISORP";65;"3103";"»esk˝ Krumlov"
"CS";"Odvozen· vazba";"CISOB";43;"500259";"Ve¯ovice";"CISORP";65;"8105";"Frenöt·t pod RadhoötÏm"
"CS";"Odvozen· vazba";"CISOB";43;"500291";"V¯esina";"CISORP";65;"8119";"Ostrava"
"CS";"Odvozen· vazba";"CISOB";43;"500496";"Olomouc";"CISORP";65;"7107";"Olomouc"
"CS";"Odvozen· vazba";"CISOB";43;"500526";"BÏlkovice-Laöùany";"CISORP";65;"7107";"Olomouc"
"CS";"Odvozen· vazba";"CISOB";43;"500623";"BÌl· Lhota";"CISORP";65;"7105";"Litovel"
"CS";"Odvozen· vazba";"CISOB";43;"500801";"Blatec";"CISORP";65;"7107";"Olomouc"
"CS";"Odvozen· vazba";"CISOB";43;"500852";"BohuÚovice";"CISORP";65;"7107";"Olomouc"
"CS";"Odvozen· vazba";"CISOB";43;"500861";"Bouzov";"CISORP";65;"7105";"Litovel"
