idhod,hodnota,vuk,vuk_text,obdobi,rok,mesic,uzemi_cis,uzemi_kod,uzemi_txt
769583377,NA,NEZ0004,Podíl nezaměstnaných osob,20171231,2017,12,43,500011,Želechovice nad Dřevnicí
769576471,NA,NEZ0004,Podíl nezaměstnaných osob,20171231,2017,12,43,500020,Petrov nad Desnou
769569935,NA,NEZ0004,Podíl nezaměstnaných osob,20171231,2017,12,43,500046,Libhošť
769565855,NA,NEZ0004,Podíl nezaměstnaných osob,20171231,2017,12,43,500062,Krhová
769577222,NA,NEZ0004,Podíl nezaměstnaných osob,20171231,2017,12,43,500071,Poličná
769556187,NA,NEZ0004,Podíl nezaměstnaných osob,20171231,2017,12,43,500101,Bražec
769559298,NA,NEZ0004,Podíl nezaměstnaných osob,20171231,2017,12,43,500127,Doupovské Hradiště
769565608,NA,NEZ0004,Podíl nezaměstnaných osob,20171231,2017,12,43,500135,Kozlov
769569209,NA,NEZ0004,Podíl nezaměstnaných osob,20171231,2017,12,43,500151,Luboměř pod Strážnou
769571457,NA,NEZ0004,Podíl nezaměstnaných osob,20171231,2017,12,43,500160,Město Libavá
769577275,NA,NEZ0004,Podíl nezaměstnaných osob,20171231,2017,12,43,500194,Polná na Šumavě
769581022,NA,NEZ0004,Podíl nezaměstnaných osob,20171231,2017,12,43,500259,Veřovice
769579854,NA,NEZ0004,Podíl nezaměstnaných osob,20171231,2017,12,43,500291,Vřesina
769572425,NA,NEZ0004,Podíl nezaměstnaných osob,20171231,2017,12,43,500496,Olomouc
769554792,NA,NEZ0004,Podíl nezaměstnaných osob,20171231,2017,12,43,500526,Bělkovice-Lašťany
769555887,NA,NEZ0004,Podíl nezaměstnaných osob,20171231,2017,12,43,500623,Bílá Lhota
769555968,NA,NEZ0004,Podíl nezaměstnaných osob,20171231,2017,12,43,500801,Blatec
769555686,NA,NEZ0004,Podíl nezaměstnaných osob,20171231,2017,12,43,500852,Bohuňovice
769556752,NA,NEZ0004,Podíl nezaměstnaných osob,20171231,2017,12,43,500861,Bouzov
769556977,NA,NEZ0004,Podíl nezaměstnaných osob,20171231,2017,12,43,500879,Bystročice
769558526,NA,NEZ0004,Podíl nezaměstnaných osob,20171231,2017,12,43,501476,Dlouhá Loučka
769558995,NA,NEZ0004,Podíl nezaměstnaných osob,20171231,2017,12,43,501646,Dolany
769559303,NA,NEZ0004,Podíl nezaměstnaných osob,20171231,2017,12,43,501751,Drahanovice
769559530,NA,NEZ0004,Podíl nezaměstnaných osob,20171231,2017,12,43,501794,Dub nad Moravou
769560818,NA,NEZ0004,Podíl nezaměstnaných osob,20171231,2017,12,43,501841,Grygov
769560385,NA,NEZ0004,Podíl nezaměstnaných osob,20171231,2017,12,43,502146,Hlubočky
769560541,NA,NEZ0004,Podíl nezaměstnaných osob,20171231,2017,12,43,502235,Hněvotín
769560546,NA,NEZ0004,Podíl nezaměstnaných osob,20171231,2017,12,43,502405,Hnojice
769563902,NA,NEZ0004,Podíl nezaměstnaných osob,20171231,2017,12,43,502545,Horka nad Moravou
769565565,NA,NEZ0004,Podíl nezaměstnaných osob,20171231,2017,12,43,502839,Cholina
769564717,NA,NEZ0004,Podíl nezaměstnaných osob,20171231,2017,12,43,503142,Jívová
769565701,NA,NEZ0004,Podíl nezaměstnaných osob,20171231,2017,12,43,503304,Kožušany-Tážaly
769583110,NA,NEZ0004,Podíl nezaměstnaných osob,20171231,2017,12,43,503410,Žitovlice
769568798,NA,NEZ0004,Podíl nezaměstnaných osob,20171231,2017,12,43,503444,Litovel
769569316,NA,NEZ0004,Podíl nezaměstnaných osob,20171231,2017,12,43,503622,Luká
769571772,NA,NEZ0004,Podíl nezaměstnaných osob,20171231,2017,12,43,503657,Lutín
769571757,NA,NEZ0004,Podíl nezaměstnaných osob,20171231,2017,12,43,503738,Majetín
769561490,NA,NEZ0004,Podíl nezaměstnaných osob,20171231,2017,12,43,503916,Kostelec
769569923,0,NEZ0004,Podíl nezaměstnaných osob,20171231,2017,12,43,503941,Libavá
769568256,NA,NEZ0004,Podíl nezaměstnaných osob,20171231,2017,12,43,504246,Mladeč
769559660,NA,NEZ0004,Podíl nezaměstnaných osob,20171231,2017,12,43,504301,Dřenice
769572801,NA,NEZ0004,Podíl nezaměstnaných osob,20171231,2017,12,43,504441,Náklo
769572863,NA,NEZ0004,Podíl nezaměstnaných osob,20171231,2017,12,43,504505,Náměšť na Hané
769570618,NA,NEZ0004,Podíl nezaměstnaných osob,20171231,2017,12,43,504785,Paseka
769564405,NA,NEZ0004,Podíl nezaměstnaných osob,20171231,2017,12,43,504807,Lány
769581541,NA,NEZ0004,Podíl nezaměstnaných osob,20171231,2017,12,43,504921,Třibřichy
769559494,NA,NEZ0004,Podíl nezaměstnaných osob,20171231,2017,12,43,504955,Dvakačovice
769555272,NA,NEZ0004,Podíl nezaměstnaných osob,20171231,2017,12,43,505005,Bítovany
769577329,NA,NEZ0004,Podíl nezaměstnaných osob,20171231,2017,12,43,505013,Příkazy
769558860,NA,NEZ0004,Podíl nezaměstnaných osob,20171231,2017,12,43,505030,Dolní Bezděkov
769579472,NA,NEZ0004,Podíl nezaměstnaných osob,20171231,2017,12,43,505081,Senice na Hané
769557689,NA,NEZ0004,Podíl nezaměstnaných osob,20171231,2017,12,43,505099,Červená Hora
769573558,NA,NEZ0004,Podíl nezaměstnaných osob,20171231,2017,12,43,505111,Slatinice
